Číslo přejezdu železniční	Název definičního úseku 	Žkm přejezdu	Přejezd s trolejovým vedením	Třída pozemní komunikace	Číslo pozemní komunikace	Místní název přejezdu	Zeměpisná šířka	Zeměpisná délka
P1	Praha-Bubny - Praha-Dejvice	0,767	Ne	B		Bubenská třída	50° 06' 16.85545'' N	14° 26' 10.84575'' E
P2	Praha-Bubny - Praha-Dejvice	2,823	Ne	MK		u Sparty	50° 05' 55.60024'' N	14° 24' 40.55371'' E
P3	Praha-Bubny - Praha-Dejvice	3,111	Ne	C		Špejchar	50° 05' 53.18570'' N	14° 24' 26.94983'' E
P4	Praha-Bubny - Praha-Dejvice	3,313	Ne	MK		na Hradčanské	50° 05' 51.65615'' N	14° 24' 17.06778'' E
P5	Praha-Dejvice - Praha-Veleslavín	5,463	Ne	MK		U přechodu	50° 05' 49.09002'' N	14° 22' 34.19851'' E
P6	Praha-Dejvice - Praha-Veleslavín	5,706	Ne	MK		U dráhy	50° 05' 46.90396'' N	14° 22' 22.47719'' E
P7	Droužkovice - km. 7,109 = 122,364	6,193	Ano	O			50° 26' 06.24495'' N	13° 23' 38.73540'' E
P7	Droužkovice - Dubina	2,755	Ano	O			50° 26' 06.24495'' N	13° 23' 38.73540'' E
P8	Praha-Dejvice - Praha-Veleslavín	6,43	Ne	MK		Nad zahradnictvím	50° 05' 40.01672'' N	14° 21' 48.04569'' E
P9	Praha-Dejvice - Praha-Veleslavín	7,619	Ne	C		Veleslavínský	50° 05' 42.70890'' N	14° 20' 52.80930'' E
P10	Praha-Veleslavín - Praha-Ruzyně	9,279	Ne	O		ulice Krajní	50° 05' 25.95927'' N	14° 19' 44.13907'' E
P11	Praha-Veleslavín - Praha-Ruzyně	9,553	Ne	C		ul. U stanice	50° 05' 23.38280'' N	14° 19' 31.03170'' E
P12	Praha-Veleslavín - Praha-Ruzyně	9,638	Ne	C		ulice Litovická	50° 05' 21.55973'' N	14° 19' 27.81901'' E
P13	Praha-Ruzyně - PORTLAND REAL,MAERSK	10,941	Ne	B		Ruzyně (ul. Drnovská)	50° 05' 02.03457'' N	14° 18' 35.40606'' E
P14	Praha-Ruzyně - PORTLAND REAL,MAERSK	11,878	Ne	O		polní cesta	50° 04' 56.97637'' N	14° 17' 49.52094'' E
P15	žst. Hostivice	14,463	Ne	C		Pražské zhlaví	50° 05' 00.78952'' N	14° 15' 47.10114'' E
P16	Hostivice - Jeneček	15,891	Ne	O		ulice „Nad Jenečkem“	50° 05' 12.61477'' N	14° 14' 37.68310'' E
P17	Hostivice - Jeneček	16,197	Ne	O		ulice „Na Samotě“	50° 05' 14.07916'' N	14° 14' 22.37872'' E
P18	Jeneček - Jeneč	18,116	Ne	III.	66	ulice „Lidická“	50° 05' 34.64246'' N	14° 12' 52.59710'' E
P18		0,067	ne	III			50° 5' 35.033'' N	14° 12' 52.599'' E
P19	Jeneč - Unhošť	20,196	Ne	I.			50° 05' 32.24721'' N	14° 11' 13.12959'' E
P20	Jeneč - Unhošť	21,831	Ne	III.	67		50° 05' 41.14515'' N	14° 09' 57.85884'' E
P21	Jeneč - Unhošť	22,27	Ne	O			50° 05' 51.37920'' N	14° 09' 42.40171'' E
P22	Jeneč - Unhošť	24,116	Ne	I.	61		50° 06' 16.60477'' N	14° 08' 19.55952'' E
P23	Unhošť - Kladno	25,872	Ne	V			50° 06' 35.26826'' N	14° 07' 09.52314'' E
P24	Unhošť - Kladno	26,705	Ne	III.	10138	U masokombinátu	50° 06' 59.73534'' N	14° 07' 09.31618'' E
P25	žst. Kladno	28,472	Ne	II.	118	ul. Wolkerova	50° 07' 43.26693'' N	14° 06' 29.00244'' E
P26	Kladno - Kamenné Žehrovice	28,973	Ne	3L		přechod pro pěší	50° 07' 37.81027'' N	14° 06' 06.10186'' E
P27	Kladno - Kamenné Žehrovice	29,851	Ne	III.	2385		50° 07' 36.88893'' N	14° 05' 23.79064'' E
P28	Kladno - Kamenné Žehrovice	30,83	Ne	MK		Na Lapáku	50° 07' 39.51307'' N	14° 04' 35.25240'' E
P29	Kladno - Kamenné Žehrovice	31,717	Ne	III.	2384	u zastávky Kladno - Rozdělov	50° 07' 54.87643'' N	14° 04' 00.92664'' E
P30	Kladno - Kamenné Žehrovice	32,946	Ne	II.	238	Bílé Vršky	50° 07' 58.54485'' N	14° 03' 04.62021'' E
P31	žst. Kamenné Žehrovice	34,55	Ne	III.	2381		50° 08' 25.85767'' N	14° 02' 04.17300'' E
P32	Kamenné Žehrovice - Stochov	35,488	Ne	MK			50° 08' 41.37753'' N	14° 01' 24.54644'' E
P32		0,997	ne	MK		Srby	50° 8' 41.40271'' N	14° 1' 24.60986'' E
P33	Kamenné Žehrovice - Stochov	37,632	Ne	O			50° 09' 19.19699'' N	13° 59' 59.48142'' E
P34	Kamenné Žehrovice - Stochov	37,982	Ne	MK			50° 09' 23.08249'' N	13° 59' 43.44745'' E
P35	žst. Stochov	41,466	Ne	MK			50° 08' 30.06270'' N	13° 57' 38.60983'' E
P36	Stochov - Nové Strašecí	44,063	Ne	III.	2373		50° 08' 20.02999'' N	13° 55' 34.41261'' E
P37	Stochov - Nové Strašecí	45,694	Ne	O			50° 08' 05.27589'' N	13° 54' 22.88045'' E
P38	Nové Strašecí - Řevničov	49,76	Ne	O			50° 08' 58.75334'' N	13° 52' 12.60334'' E
P39	Nové Strašecí - Řevničov	50,569	Ne	O			50° 08' 35.74383'' N	13° 52' 04.00726'' E
P40	Nové Strašecí - Řevničov	52,896	Ne	III.	2372		50° 08' 56.43673'' N	13° 50' 17.78282'' E
P41	Řevničov - Lužná u Rakovníka	57,73	Ne	O			50° 08' 27.86466'' N	13° 48' 07.39290'' E
P42	žst. Lužná u Rakovníka	60,974	Ne	O			50° 08' 41.29725'' N	13° 46' 27.72389'' E
P43	Lužná u Rakovníka - Krupá	61,752	Ne	O			50° 08' 44.27072'' N	13° 45' 49.12071'' E
P44	Lužná u Rakovníka - Krupá	63,706	Ne	II.	229		50° 09' 27.86960'' N	13° 44' 40.30773'' E
P45	Lužná u Rakovníka - Krupá	64,824	Ne	O			50° 09' 51.88033'' N	13° 43' 57.99627'' E
